prices,address,no_beds,baths,sqft
318900, 11020 Reliance Creek Dr Austin TX 78754 ,4,2,1801
160000, 3000 Guadalupe St UNIT 301 Austin TX 78705 ,1,1,401
469900, 10929 Sea Hero Ln Austin TX 78748 ,5,4,3218
298900, 4611 Best Way Austin TX 78725 ,3,2,1112
349000, 8724 Panadero Dr Austin TX 78747 ,3,3,2790
275000, 3409 Etheredge Dr Austin TX 78725 ,3,3,1892
450000, 2500 Alleyton Cv Austin TX 78725 ,3,2,1779
2790000, 1306 Darter Ln Austin TX 78746 ,5,5,3900
675000, 2811 Grimes Ranch Rd Austin TX 78732 ,5,4,3103
419000, 12710 Silver Creek Dr Austin TX 78727 ,5,3,2111
380000, 11508 Oak Trl Austin TX 78753 ,3,2,1761
369900, 11901 Arran St Austin TX 78754 ,3,2,1903
395000, 4702 Pewter Ln Austin TX 78744 ,3,2,1818
395000, 5602 Kayview Dr Austin TX 78749 ,3,2,1781
189000, 11613 Maybach Dr Del Valle TX 78617 ,3,2,1201
219900, 14400 Vandever St Austin TX 78725 ,3,2,1476
389000, 9204 Sanford Dr Austin TX 78748 ,3,2,1547
475000, 4005 Biscay Dr Austin TX 78759 ,4,2,1989
490000, 4801 Sage Hen Dr Austin TX 78727 ,3,2,1409
499900, 143 Enchanted Cv Austin TX 78737 ,4,3,2739
389900, 907 Sand Hill Branch Dr Austin TX 78748 ,3,2,1583
699900, 5303 Beechmoor Dr Austin TX 78723 ,4,2,2226
449000, 11608 Bittern Holw Austin TX 78758 ,3,2,1562
549000, 7919 Wheel Rim Cir Austin TX 78749 ,4,3,2388
499900, 6606 Woodcrest Dr Austin TX 78759 ,3,2,1615
10995000, 1607 Manana St Austin TX 78730 ,8,10,10887
525000, 11611 Buttonwood Dr Austin TX 78759 ,3,2,2388
850000, 6902 Beauford Dr Austin TX 78750 ,5,4,3999
600000, 16116 Braesgate Dr Austin TX 78717 ,4,3,3030
295000, 8800 Wiley Way Austin TX 78747 ,3,3,2101
359234, 904 Echo Ln Austin TX 78745 ,4,2,1234
365000, 7102 Villita Avenida St Austin TX 78741 ,3,2,1092
250000, 15117 Bigelow Dr Austin TX 78724 ,3,2,1326
570000, 11600 Running Brush Ln Austin TX 78717 ,3,2,2058
575000, 13833 Trail Driver St Austin TX 78737 ,3,2,1872
419000, 8410 Jamestown Dr Austin TX 78758 ,3,2,1390
495000, 1715 Pebble Brook Dr Austin TX 78752 ,3,2,2187
475000, 1617 Ashberry Dr Austin TX 78723 ,3,3,1652
365000, 1801 Suter St Austin TX 78748 ,3,2,1741
229900, 4506 Best Way Austin TX 78725 ,2,1,800
284900, 9009 Sun Shower Bnd Austin TX 78724 ,3,2,1407
455000, 5405 Duval St Austin TX 78751 ,3,2,1023
530000, 7412 Mifflin Kenedy Ter Austin TX 78749 ,3,3,2522
360000, 10504 Crescendo Ln Austin TX 78747 ,4,3,2132
650000, 10128 Clemente Cir Austin TX 78737 ,3,3,2451
399900, 11312 Dawes Pl Austin TX 78754 ,5,3,2874
825000, 2509 Lipizzan Dr Austin TX 78732 ,4,4,3827
520000, 7112 Quimper Ln Austin TX 78749 ,3,2,2153
375000, 10010 Quail Hutch Dr Austin TX 78758 ,3,2,1183
399990, The Roosevelt Plan Pioneer Hill ,4,3,2320
353990, The Denali Plan Parker Station ,3,3,1813
500000, 2700 Nordham Dr Austin TX 78745 ,3,2,1472
273990, 15205 Upland Willow Rd Austin TX 78724 ,3,2,1412
265000, 4410 Magin Meadow Dr Austin TX 78744 ,3,2,1123
550000, 3005 Leaning Oak Cir Austin TX 78704 ,4,2,1680
850000, 2516 Lipizzan Dr Austin TX 78732 ,5,5,4359
230000, 12309 Furrow Cv APT B Austin TX 78753 ,2,2,955
899000, 4108 Michael Neill Dr Austin TX 78730 ,4,4,3708
780000, 2311 Westforest Dr Austin TX 78704 ,3,2,1586
420000, 606 Colonial Park Blvd Austin TX 78745 ,3,2,1206
749000, 5120 Allamanda Dr Austin TX 78739 ,4,4,3118
799000, 7606 Latta Dr Austin TX 78749 ,3,3,2080
529000, 12507 Split Rail Pkwy Austin TX 78750 ,3,2,1778
1200000, 309 Summer Alcove Way Austin TX 78732 ,5,4,4198
349900, 9710 Tall Tree Ln #128 Austin TX 78748 ,3,3,1886
699000, 9001 Zyle Rd Austin TX 78737 ,5,4,3164
898000, 2112 Sage Creek Loop Austin TX 78704 ,4,3,2315
950000, 3216 Wild Canyon Loop Austin TX 78732 ,4,4,4361
899900, 216 Blazing Star Dr Austin TX 78737 ,5,6,7802
243500, 6211 Manor Rd APT 115 Austin TX 78723 ,2,2,1208
895000, 10702 Spicewood Club Dr Austin TX 78750 ,5,3,2964
330000, 1119 Plymouth Dr Austin TX 78758 ,3,1,1032
243500, 6211 Manor Rd APT 116 Austin TX 78723 ,2,2,1234
450000, 2609 Loyola Ln Austin TX 78723 ,3,2,1608
337000, 7508 Redrick Dr Austin TX 78747 ,4,3,2228
425000, 4406 Manzanillo Dr Austin TX 78749 ,3,2,1394
1678000, 2500 University Club Dr Austin TX 78732 ,5,6,4886
775000, 3001 Village Dr Austin TX 78731 ,4,3,2250
849900, 10001 Liriope Cv Austin TX 78750 ,4,3,2969
525000, 1125 Garland Ave Austin TX 78721 ,3,2,1216
699999, 2609 Aldford Dr Austin TX 78745 ,4,4,1695
270000, 9445 Singing Quail Dr Austin TX 78758 ,3,2,1348
825000, 9517 Bungalow Ln Austin TX 78749 ,4,4,3558
6500000, 1855 Westlake Dr Austin TX 78746 ,4,5,5616
375000, 1605 Westmoor Dr Austin TX 78723 ,2,2,1400
925000, 1129 Lott Ave Austin TX 78721 ,3,3,2322
699000, 5313 Avenue H Austin TX 78751 ,3,3,2971
1490000, 2400 Padina Dr Austin TX 78733 ,5,6,5241
675000, 125 Granite Ln Austin TX 78737 ,5,5,4198
250000, 1514 Parker Ln APT 208 Austin TX 78741 ,1,1,776
985000, 19 Long Creek Rd Austin TX 78737 ,4,3,5178
655000, 437 Stone River Dr Austin TX 78737 ,4,5,3197
359900, 13400 Briarwick Dr UNIT 2702 Austin TX 78729 ,3,3,1710
1250000, 4908 Balcones Dr Austin TX 78731 ,4,3,2464
310000, 2020 Wayward Sun Dr Austin TX 78754 ,3,2,1650
5900000, 2300 Portofino Ridge Dr Austin TX 78735 ,7,9,9579
1300000, 7307 Mesa Dr Austin TX 78731 ,4,3,2391
420000, 7104 Mount Carrell Dr Austin TX 78745 ,4,2,1340
849999, 4231 Westlake Dr APT B1 Austin TX 78746 ,3,3,2364
345000, 5919 Idlewood Cv Austin TX 78745 ,3,1,902
499900, 2936 Persimmon Valley Trl Austin TX 78732 ,3,2,2163
400000, 14812 Avery Ranch Blvd APT 71 Austin TX 78717 ,3,3,2288
303990, The Midland Plan Forest Bluff ,4,3,2170
750000, 5702 Woodrow Ave Austin TX 78756 ,3,2,1490
450000, 15705 Canberra Trl Austin TX 78728 ,3,2,1905
235000, 4713 Lake George Ln #185 Austin TX 78754 ,3,2,1877
249900, 2600 Penny Ln APT 105 Austin TX 78757 ,2,2,834
625000, 15805 W Dorman Dr Austin TX 78717 ,4,3,2921
479900, 9113 Sommerland Way Austin TX 78749 ,4,3,2154
270000, 2316 Elara Dr Austin TX 78725 ,3,2,1291
300000, 3204 Braun Way Austin TX 78725 ,4,2,1858
1359000, 400 Dawn River Cv Austin TX 78732 ,5,6,4711
999000, 13700 Country Lake Dr Austin TX 78732 ,4,4,4202
349900, 1608 Denesa Dr Austin TX 78725 ,3,3,1864
350000, 313 Blackson Ave Austin TX 78752 ,2,1,768
525000, 2601 N Quinlan Park Rd SUITE 203 Austin TX 78732 ,2,3,2075
735000, 4716 Caswell Ave #A Austin TX 78751 ,3,2,1590
500000, 5415 Evans Ave Austin TX 78751 ,2,1,768
525000, 217 Lessin Ln Austin TX 78704 ,2,2,1264
289900, 8904 Meridian Oak Ln Austin TX 78744 ,3,2,1574
1100000, 5307 Avenue G Austin TX 78751 ,3,3,2343
374500, 6000 S Congress Ave APT 202 Austin TX 78745 ,2,3,1479
450000, 2600 Highland Haven Dr Austin TX 78725 ,4,2,1779
2350000, 3900 Bennedict Ln Austin TX 78746 ,5,5,4332
650000, 2103 Wooten Dr Austin TX 78757 ,4,2,1613
249000, 5215 Coppermead Ln Austin TX 78754 ,3,2,1186
629000, 7514 Wildcat Pass Austin TX 78757 ,3,3,2064
614000, 4503 Cliffstone Cv Austin TX 78735 ,3,2,1754
315000, 11732 Gaelic Dr Austin TX 78754 ,3,2,1704
699000, 707 Cardinal Ln APT N-2 Austin TX 78704 ,3,4,1826
305000, 1207 Faircrest Dr Austin TX 78753 ,3,3,2206
350000, 2005 Uphill Ln Austin TX 78741 ,2,1,800
1375000, 2507 Euclid Ave Austin TX 78704 ,3,3,2564
539500, 1300 Lipan Trl Austin TX 78733 ,3,2,1680
419900, 800 Sand Hill Branch Dr #38 Austin TX 78748 ,4,3,2634
384000, 13708 Bauhaus Bnd Pflugerville TX 78660 ,4,3,2806
630000, 7503 Corrie Cv Austin TX 78749 ,3,3,2473
479900, 5101 Woodrow Ave #1 Austin TX 78756 ,2,1,787
299900, 1202 Haverford Dr Austin TX 78753 ,4,3,1821
399900, 301 Provines Dr Austin TX 78753 ,5,3,2852
525000, 360 Nueces St APT 1901 Austin TX 78701 ,1,1,801
750000, 11712 Arbor Downs Rd Austin TX 78748 ,5,4,3639
3195000, 3303 Hickory Creek Cv Austin TX 78735 ,6,8,8784
270000, 12339 Tomanet Trl Austin TX 78758 ,3,2,1065
1995000, 11401 Eagles Glen Dr Austin TX 78732 ,7,9,5780
565000, 1702 S Lamar Blvd UNIT 12 Austin TX 78704 ,2,3,1521
315000, 9308 Beechnut Dr #35 Austin TX 78748 ,3,3,1422
325000, 7003 Woodhue Dr #A Austin TX 78745 ,2,2,1046
250000, 12504 Mexicana Cv Del Valle TX 78617 ,3,2,1203
349900, 8105 Boggy Ridge Dr Austin TX 78748 ,3,2,1518
789000, 1207 Miami Dr Austin TX 78733 ,4,3,1902
700000, 360 Nueces St APT 3104 Austin TX 78701 ,2,2,998
249900, 6510 Stonleigh Pl Austin TX 78744 ,3,2,952
495000, 5312 Medford Dr Austin TX 78723 ,3,2,1117
600000, 10116 Palmbrook Dr Austin TX 78717 ,3,3,2648
539500, 12524 Capitol Saddlery Trl Austin TX 78732 ,3,2,2398
625990, Plan 215 Plan Highpointe: 80ft. lots ,4,3,2939
1095000, 1104 E 2nd St #1 Austin TX 78702 ,3,3,1854
525000, 9202 Norchester Ct Austin TX 78729 ,4,3,1908
369000, 1402 Meadgreen Cir Austin TX 78758 ,3,2,1663
575000, 9601 Pasatiempo Dr Austin TX 78717 ,4,2,2256
375000, 2605 Enfield Rd APT 221 Austin TX 78703 ,2,3,1028
1795000, 1120 Elder Cir Austin TX 78733 ,4,4,4385
1200000, 5807 City Park Rd APT 11 Austin TX 78730 ,4,5,2857
299900, 11229 Liberty Farms Dr Austin TX 78754 ,3,2,1646
750000, 12221 Palisades Pkwy Austin TX 78732 ,4,4,3785
845000, 1904 W 39th St UNIT A Austin TX 78731 ,3,4,1863
500000, 902 Philco Dr #B Austin TX 78745 ,2,2,1100
175000, 2202 Mission Hill Cir APT 104 Austin TX 78741 ,2,2,983
800000, 300 Bowie St APT 605 Austin TX 78703 ,2,2,1061
315000, 3801 Menchaca Rd #17 Austin TX 78704 ,2,3,1076
698500, 44 East Ave #3305 Austin TX 78701 ,2,2,796
224900, 1735 Harliquin Run Austin TX 78758 ,2,3,1253
289000, 15013 Drusillas Dr Pflugerville TX 78660 ,3,3,1860
220000, 6700 Cooper Ln APT 41 Austin TX 78745 ,2,2,882
890000, 11025 Pairnoy Ln Austin TX 78739 ,5,4,4410
216000, 6904 Point North Dr Austin TX 78724 ,3,4,1260
380990, The Reagan Plan Pioneer Hill ,4,2,1859
339900, 914 Wessex Way Austin TX 78748 ,2,2,1192
1750000, 7600 Sandia Loop Austin TX 78735 ,5,6,5786
695000, 11100 Aragon Dr Austin TX 78759 ,5,3,2231
1695000, 1801 Carlotta Ln Austin TX 78733 ,4,4,2651
375000, 1307 Showbox St Pflugerville TX 78660 ,3,3,2153
299900, 11025 Boundless Valley Dr Austin TX 78754 ,4,3,2009
549000, 3212 Magenta Sky Trl Austin TX 78732 ,3,2,2640
1724990, 3728 Josh Ln Austin TX 78730 ,4,4,5954
400000, 7009 Millrace Dr Austin TX 78724 ,3,2,1304
350000, 14812 Avery Ranch Blvd APT 28 Austin TX 78717 ,3,2,1618
250000, 6810 Deatonhill Dr APT 1104 Austin TX 78745 ,2,2,1051
262500, 860 Banister Ln Austin TX 78704 ,2,2,968
790000, 10212 Shively Ln Austin TX 78747 ,4,3,3800
415000, 11016 Silo Valley Dr Austin TX 78754 ,4,3,3183
1280000, 2109 Real Catorce Dr Austin TX 78746 ,4,4,3700
299000, 11700 Saddle Rock Dr Austin TX 78725 ,3,2,1496
475000, 3810 Tattershall Ln Austin TX 78727 ,3,2,2099
299900, 9607 Magna Carta Loop Austin TX 78754 ,3,3,1928
279990, The Denton Plan Forest Bluff ,3,2,1575
539000, 5707 Marchmont Ln Austin TX 78749 ,3,3,2041
775000, 4805 Harmon Ave Austin TX 78751 ,4,3,1911
201450, 2804 S 1st St #1302 Austin TX 78704 ,1,1,484
485000, 194 Lavaca Heights Dr Austin TX 78737 ,3,2,1947
449900, 849 Cripple Creek Dr Austin TX 78758 ,3,2,1341
3950000, 4511 Balcones Dr Austin TX 78731 ,5,9,7013
275000, 7412 Poinsetta Ln Austin TX 78744 ,2,2,961
384990, The Independence Plan Parker Station ,4,2,2025
579900, 11132 Amesite Trl Austin TX 78726 ,5,4,3302
3980000, 12915 Shore Vista Dr Austin TX 78732 ,7,9,7741
1400000, 11512 Eagles Glen Dr Austin TX 78732 ,5,4,4266
775000, 208 Ben Howell Dr UNIT A Austin TX 78704 ,3,3,1652
339990, The Patriot Plan Parker Station ,4,3,2188
624910, 12721 Lee Park Ln Austin TX 78732 ,4,4,2717
899900, 7705 El Dorado Dr Austin TX 78737 ,4,4,3400
550000, 13217 Briar Hollow Dr Austin TX 78729 ,4,3,2646
410000, 11017 Zoeller Dr Austin TX 78747 ,4,4,2171
1600000, Garden Villa Ct Austin TX 78704 ,4,5,2761
